"field_id","owner","concept","java_name","java_type","db_column","sql_type","api_name","typescript_type","nullable","validation","release","data_classification","reference"
"APT-END-AT","ENT-APPOINTMENT","Fim","endAt","Instant","end_at","timestamptz","endAt","string","NO","UTC; maior que início","MVP","INTERNAL","RN-AGE-005"
"APT-TOTAL","ENT-APPOINTMENT","Total final","totalAmount","BigDecimal","total_amount","numeric(19,2)","totalAmount","string","NO",">=0","MVP","INTERNAL","ADR-011"
"APT-DISCOUNT","ENT-APPOINTMENT","Desconto total","discountAmount","BigDecimal","discount_amount","numeric(19,2)","discountAmount","string","NO","0..total","MVP","INTERNAL","RN-COM-002"
"APT-SURCHARGE","ENT-APPOINTMENT","Acréscimo total","surchargeAmount","BigDecimal","surcharge_amount","numeric(19,2)","surchargeAmount","string","NO",">=0; padrão 0","INTERMEDIARIO","INTERNAL","RN-PAG-005"
"APT-TIP","ENT-APPOINTMENT","Gorjeta","tipAmount","BigDecimal","tip_amount","numeric(19,2)","tipAmount","string","NO",">=0; fora da comissão padrão","INTERMEDIARIO","INTERNAL","RN-PAG-005"
"APT-NOTES","ENT-APPOINTMENT","Observação","notes","String","notes","varchar(1000)","notes","string","YES","Até 1000; sem HTML","MVP","PERSONAL","RF-AGE-001"
"APT-CANCEL-REASON","ENT-APPOINTMENT","Motivo de cancelamento","cancellationReason","String","cancellation_reason","varchar(500)","cancellationReason","string","YES","Obrigatório ao cancelar","MVP","INTERNAL","RN-AGE-008"
"APT-CANCELED-AT","ENT-APPOINTMENT","Cancelamento","canceledAt","Instant","canceled_at","timestamptz","canceledAt","string","YES","UTC","MVP","INTERNAL","RN-AGE-008"
"APT-COMPLETED-AT","ENT-APPOINTMENT","Conclusão","completedAt","Instant","completed_at","timestamptz","completedAt","string","YES","UTC","MVP","INTERNAL","RN-AGE-014"
"APT-IDEMPOTENCY","ENT-APPOINTMENT","Chave idempotente","idempotencyKey","String","idempotency_key","varchar(120)","-","never","YES","Única por tenant e operação","MVP","SECRET","RN-AGE-013"
"APT-DEPOSIT-STATUS","ENT-APPOINTMENT","Estado do sinal","depositStatus","DepositStatus","deposit_status","varchar(20)","depositStatus","DepositStatus","NO","NOT_REQUIRED PENDING PAID EXPIRED WAIVED; snapshot","INTERMEDIARIO","INTERNAL","RF-AGE-018"
"APT-DEPOSIT-AMOUNT","ENT-APPOINTMENT","Valor exigido de sinal","depositAmount","BigDecimal","deposit_amount","numeric(19,2)","depositAmount","string","YES","Positivo quando estado exigir; snapshot da política","INTERMEDIARIO","INTERNAL","RF-AGE-018"
"APT-DEPOSIT-DUE-AT","ENT-APPOINTMENT","Vencimento do sinal","depositDueAt","Instant","deposit_due_at","timestamptz","depositDueAt","string","YES","UTC; exigido em PENDING","INTERMEDIARIO","INTERNAL","RF-AGE-018"
"API-APPOINTMENT-ID","ENT-APPOINTMENT-ITEM","Agendamento","appointmentId","UUID","appointment_id","uuid","appointmentId","string","NO","FK do tenant","MVP","INTERNAL","ENT-APPOINTMENT"
"API-SERVICE-ID","ENT-APPOINTMENT-ITEM","Serviço de origem","serviceId","UUID","service_id","uuid","serviceId","string","NO","FK do tenant","MVP","INTERNAL","ENT-SERVICE"
"API-NAME-SNAPSHOT","ENT-APPOINTMENT-ITEM","Nome congelado","nameSnapshot","String","name_snapshot","varchar(120)","name","string","NO","2..120","MVP","INTERNAL","RN-AGE-006"
"API-DURATION-SNAPSHOT","ENT-APPOINTMENT-ITEM","Duração congelada","durationMinutes","Integer","duration_minutes","integer","durationMinutes","number","NO","5..720","MVP","INTERNAL","RN-AGE-006"
"API-UNIT-PRICE","ENT-APPOINTMENT-ITEM","Preço congelado","unitPrice","BigDecimal","unit_price","numeric(19,2)","unitPrice","string","NO",">=0","MVP","INTERNAL","RN-AGE-006"
"API-DISCOUNT","ENT-APPOINTMENT-ITEM","Desconto do item","discountAmount","BigDecimal","discount_amount","numeric(19,2)","discountAmount","string","NO","0..unitPrice","MVP","INTERNAL","RN-COM-002"
"API-SORT","ENT-APPOINTMENT-ITEM","Ordem do item","sortOrder","Integer","sort_order","integer","sortOrder","number","NO",">=0","MVP","INTERNAL","RF-AGE-012"
"APH-APPOINTMENT-ID","ENT-APPOINTMENT-HISTORY","Agendamento","appointmentId","UUID","appointment_id","uuid","appointmentId","string","NO","FK","MVP","INTERNAL","ENT-APPOINTMENT"
"APH-FROM-STATUS","ENT-APPOINTMENT-HISTORY","Estado anterior","fromStatus","AppointmentStatus","from_status","varchar(20)","fromStatus","AppointmentStatus","YES","Nulo na criação","MVP","INTERNAL","AppointmentStatus"
"APH-TO-STATUS","ENT-APPOINTMENT-HISTORY","Novo estado","toStatus","AppointmentStatus","to_status","varchar(20)","toStatus","AppointmentStatus","NO","Enum canônico","MVP","INTERNAL","AppointmentStatus"
"APH-ACTOR-ID","ENT-APPOINTMENT-HISTORY","Autor","actorUserId","UUID","actor_user_id","uuid","actorUserId","string","YES","Nulo para sistema","MVP","INTERNAL","ENT-USER"
"APH-REASON","ENT-APPOINTMENT-HISTORY","Motivo","reason","String","reason","varchar(500)","reason","string","YES","Até 500","MVP","INTERNAL","RN-AGE-007"
"APH-OCCURRED-AT","ENT-APPOINTMENT-HISTORY","Ocorrência","occurredAt","Instant","occurred_at","timestamptz","occurredAt","string","NO","UTC","MVP","INTERNAL","ADR-010"
"WLE-UNIT-ID","ENT-WAITLIST-ENTRY","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do tenant","MVP","INTERNAL","ENT-UNIT"
"WLE-CUSTOMER-ID","ENT-WAITLIST-ENTRY","Cliente","customerId","UUID","customer_id","uuid","customerId","string","NO","FK do tenant","MVP","PERSONAL","ENT-CUSTOMER"
"WLE-SERVICE-ID","ENT-WAITLIST-ENTRY","Serviço","serviceId","UUID","service_id","uuid","serviceId","string","NO","FK do tenant","MVP","INTERNAL","ENT-SERVICE"
"WLE-BARBER-ID","ENT-WAITLIST-ENTRY","Profissional preferido","preferredBarberId","UUID","preferred_barber_id","uuid","preferredBarberId","string","YES","FK do tenant","MVP","INTERNAL","ENT-BARBER-PROFILE"
"WLE-WINDOW-START","ENT-WAITLIST-ENTRY","Início da janela","windowStartAt","Instant","window_start_at","timestamptz","windowStartAt","string","NO","UTC","MVP","INTERNAL","RF-FIL-001"
"WLE-WINDOW-END","ENT-WAITLIST-ENTRY","Fim da janela","windowEndAt","Instant","window_end_at","timestamptz","windowEndAt","string","NO","> início","MVP","INTERNAL","RF-FIL-001"
"WLE-STATUS","ENT-WAITLIST-ENTRY","Estado","status","WaitlistStatus","status","varchar(20)","status","WaitlistStatus","NO","Enum canônico","MVP","INTERNAL","WaitlistStatus"
"WLE-PRIORITY","ENT-WAITLIST-ENTRY","Prioridade","priority","Integer","priority","integer","priority","number","NO","Padrão 0; motivo para alteração","MVP","INTERNAL","RN-FIL-002"
"WLE-EXPIRES-AT","ENT-WAITLIST-ENTRY","Expiração","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","YES","UTC","MVP","INTERNAL","RF-FIL-005"
"WOF-WAITLIST-ID","ENT-WAITLIST-OFFER","Entrada da fila","waitlistEntryId","UUID","waitlist_entry_id","uuid","waitlistEntryId","string","NO","FK","MVP","INTERNAL","ENT-WAITLIST-ENTRY"
"WOF-SLOT-START","ENT-WAITLIST-OFFER","Slot oferecido","slotStartAt","Instant","slot_start_at","timestamptz","slotStartAt","string","NO","UTC","MVP","INTERNAL","RN-FIL-003"
"WOF-SLOT-END","ENT-WAITLIST-OFFER","Fim do slot","slotEndAt","Instant","slot_end_at","timestamptz","slotEndAt","string","NO","> início","MVP","INTERNAL","RN-FIL-003"
"WOF-TOKEN-HASH","ENT-WAITLIST-OFFER","Hash do link","tokenHash","String","token_hash","varchar(255)","-","never","NO","Uso único","MVP","SECRET","RF-FIL-004"
"WOF-STATUS","ENT-WAITLIST-OFFER","Estado","status","OfferStatus","status","varchar(20)","status","OfferStatus","NO","Enum canônico","MVP","INTERNAL","OfferStatus"
"WOF-EXPIRES-AT","ENT-WAITLIST-OFFER","Expiração","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","NO","UTC","MVP","INTERNAL","RN-FIL-003"
"CMR-BARBER-ID","ENT-COMMISSION-RULE","Profissional opcional","barberId","UUID","barber_id","uuid","barberId","string","YES","FK do tenant","MVP","INTERNAL","ENT-BARBER-PROFILE"
"CMR-SERVICE-ID","ENT-COMMISSION-RULE","Serviço opcional","serviceId","UUID","service_id","uuid","serviceId","string","YES","FK do tenant","MVP","INTERNAL","ENT-SERVICE"
"CMR-TYPE","ENT-COMMISSION-RULE","Tipo","type","CommissionType","type","varchar(20)","type","CommissionType","NO","Enum canônico","MVP","INTERNAL","CommissionType"
"CMR-PERCENTAGE","ENT-COMMISSION-RULE","Percentual","percentage","BigDecimal","percentage","numeric(7,4)","percentage","string","YES","0..100","MVP","INTERNAL","RN-COM-003"
"CMR-FIXED","ENT-COMMISSION-RULE","Valor fixo","fixedAmount","BigDecimal","fixed_amount","numeric(19,2)","fixedAmount","string","YES",">=0","MVP","INTERNAL","RN-COM-003"
"CMR-VALID-FROM","ENT-COMMISSION-RULE","Início da vigência","validFrom","Instant","valid_from","timestamptz","validFrom","string","NO","UTC","MVP","INTERNAL","RN-COM-001"
"CMR-VALID-TO","ENT-COMMISSION-RULE","Fim da vigência","validTo","Instant","valid_to","timestamptz","validTo","string","YES","> início","MVP","INTERNAL","RN-COM-001"
"CME-APPOINTMENT-ID","ENT-COMMISSION-ENTRY","Agendamento","appointmentId","UUID","appointment_id","uuid","appointmentId","string","YES","FK; nulo somente em ajuste manual","MVP","INTERNAL","ENT-APPOINTMENT"
"CME-ITEM-ID","ENT-COMMISSION-ENTRY","Item","appointmentItemId","UUID","appointment_item_id","uuid","appointmentItemId","string","YES","FK; nulo somente em ajuste manual","MVP","INTERNAL","ENT-APPOINTMENT-ITEM"
"CME-BARBER-ID","ENT-COMMISSION-ENTRY","Profissional","barberId","UUID","barber_id","uuid","barberId","string","NO","FK","MVP","INTERNAL","ENT-BARBER-PROFILE"
"CME-RULE-ID","ENT-COMMISSION-ENTRY","Regra de origem","commissionRuleId","UUID","commission_rule_id","uuid","commissionRuleId","string","YES","FK","MVP","INTERNAL","ENT-COMMISSION-RULE"
"CME-BASE","ENT-COMMISSION-ENTRY","Base","baseAmount","BigDecimal","base_amount","numeric(19,2)","baseAmount","string","NO",">=0","MVP","INTERNAL","RN-COM-002"
"CME-PERCENTAGE","ENT-COMMISSION-ENTRY","Percentual aplicado","percentage","BigDecimal","percentage","numeric(7,4)","percentage","string","NO","0..100","MVP","INTERNAL","RN-COM-004"
"CME-FIXED","ENT-COMMISSION-ENTRY","Fixo aplicado","fixedAmount","BigDecimal","fixed_amount","numeric(19,2)","fixedAmount","string","NO",">=0","MVP","INTERNAL","RN-COM-004"
"CME-AMOUNT","ENT-COMMISSION-ENTRY","Comissão","commissionAmount","BigDecimal","commission_amount","numeric(19,2)","commissionAmount","string","NO","Pode ser negativo em reversão","MVP","INTERNAL","RN-COM-003"
"CME-STATUS","ENT-COMMISSION-ENTRY","Estado","status","CommissionStatus","status","varchar(20)","status","CommissionStatus","NO","Enum canônico","MVP","INTERNAL","CommissionStatus"
"CME-REVERSAL-ID","ENT-COMMISSION-ENTRY","Lançamento revertido","reversalOfId","UUID","reversal_of_id","uuid","reversalOfId","string","YES","FK","INTERMEDIARIO","INTERNAL","RN-COM-006"
"CME-REASON","ENT-COMMISSION-ENTRY","Motivo","reason","String","reason","varchar(500)","reason","string","YES","Obrigatório para ajuste","MVP","INTERNAL","RN-COM-007"
"NOT-RECIPIENT-USER","ENT-NOTIFICATION","Usuário destinatário","recipientUserId","UUID","recipient_user_id","uuid","recipientUserId","string","YES","Usuário ou cliente obrigatório","MVP","PERSONAL","ENT-USER"
"NOT-RECIPIENT-CUSTOMER","ENT-NOTIFICATION","Cliente destinatário","recipientCustomerId","UUID","recipient_customer_id","uuid","recipientCustomerId","string","YES","Usuário ou cliente obrigatório","MVP","PERSONAL","ENT-CUSTOMER"
"NOT-CHANNEL","ENT-NOTIFICATION","Canal","channel","NotificationChannel","channel","varchar(20)","channel","NotificationChannel","NO","Enum canônico","MVP","INTERNAL","NotificationChannel"
"NOT-TYPE","ENT-NOTIFICATION","Tipo","type","String","type","varchar(80)","type","string","NO","Código estável","MVP","INTERNAL","RN-NOT-001"
"NOT-TEMPLATE-KEY","ENT-NOTIFICATION","Template","templateKey","String","template_key","varchar(120)","templateKey","string","YES","Chave existente","MVP","INTERNAL","ENT-MESSAGE-TEMPLATE"
"NOT-REFERENCE-TYPE","ENT-NOTIFICATION","Tipo de origem","referenceType","String","reference_type","varchar(80)","referenceType","string","YES","Código estável","MVP","INTERNAL","RN-NOT-001"
"NOT-REFERENCE-ID","ENT-NOTIFICATION","ID da origem","referenceId","UUID","reference_id","uuid","referenceId","string","YES","Par com tipo","MVP","INTERNAL","RN-NOT-001"
"NOT-STATUS","ENT-NOTIFICATION","Estado de entrega","status","DeliveryStatus","status","varchar(30)","status","DeliveryStatus","NO","Enum canônico","MVP","INTERNAL","DeliveryStatus"
"NOT-SCHEDULED-AT","ENT-NOTIFICATION","Agendamento de envio","scheduledAt","Instant","scheduled_at","timestamptz","scheduledAt","string","NO","UTC","MVP","INTERNAL","RN-NOT-001"
"NOT-SENT-AT","ENT-NOTIFICATION","Envio","sentAt","Instant","sent_at","timestamptz","sentAt","string","YES","UTC","MVP","INTERNAL","RN-NOT-002"
"NOT-DELIVERED-AT","ENT-NOTIFICATION","Entrega","deliveredAt","Instant","delivered_at","timestamptz","deliveredAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-NOT-005"
"NOT-ERROR-CODE","ENT-NOTIFICATION","Código de falha","errorCode","String","error_code","varchar(120)","errorCode","string","YES","Código sanitizado","MVP","INTERNAL","RN-NOT-002"
"NOT-DEDUPE-KEY","ENT-NOTIFICATION","Deduplicação","dedupeKey","String","dedupe_key","varchar(180)","-","never","NO","Única por tenant","MVP","SECRET","RN-NOT-003"
"NPR-USER-ID","ENT-NOTIFICATION-PREFERENCE","Usuário destinatário","userId","UUID","user_id","uuid","userId","string","YES","Exatamente um entre usuário e cliente","MVP","PERSONAL","ENT-USER"
"NPR-CUSTOMER-ID","ENT-NOTIFICATION-PREFERENCE","Cliente destinatário","customerId","UUID","customer_id","uuid","customerId","string","YES","Exatamente um entre usuário e cliente","MVP","PERSONAL","ENT-CUSTOMER"
"NPR-TYPE","ENT-NOTIFICATION-PREFERENCE","Tipo de notificação","type","String","type","varchar(80)","type","string","NO","Código estável; par único com destinatário/canal","MVP","INTERNAL","RF-NOT-004"
"NPR-CHANNEL","ENT-NOTIFICATION-PREFERENCE","Canal","channel","NotificationChannel","channel","varchar(20)","channel","NotificationChannel","NO","Enum canônico","MVP","INTERNAL","NotificationChannel"
"NPR-ENABLED","ENT-NOTIFICATION-PREFERENCE","Habilitada","enabled","Boolean","enabled","boolean","enabled","boolean","NO","Obrigatórias não podem ser desabilitadas","MVP","INTERNAL","RF-NOT-004"
"CCO-CUSTOMER-ID","ENT-CUSTOMER-CONSENT","Cliente","customerId","UUID","customer_id","uuid","customerId","string","NO","FK do tenant","INTERMEDIARIO","PERSONAL","ENT-CUSTOMER"
"CCO-PURPOSE","ENT-CUSTOMER-CONSENT","Finalidade","purpose","ConsentPurpose","purpose","varchar(30)","purpose","ConsentPurpose","NO","TRANSACTIONAL MARKETING ANALYTICS","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CCO-CHANNEL","ENT-CUSTOMER-CONSENT","Canal","channel","NotificationChannel","channel","varchar(20)","channel","NotificationChannel","NO","EMAIL WHATSAPP SMS","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CCO-STATUS","ENT-CUSTOMER-CONSENT","Manifestação","status","ConsentStatus","status","varchar(20)","status","ConsentStatus","NO","GRANTED WITHDRAWN OPTED_OUT","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CCO-SOURCE","ENT-CUSTOMER-CONSENT","Origem da prova","source","String","source","varchar(120)","source","string","NO","Código de canal ou tela","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CCO-OCCURRED-AT","ENT-CUSTOMER-CONSENT","Ocorrência","occurredAt","Instant","occurred_at","timestamptz","occurredAt","string","NO","UTC; evento imutável","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CCO-POLICY-VERSION","ENT-CUSTOMER-CONSENT","Versão da política","policyVersion","String","policy_version","varchar(80)","policyVersion","string","NO","Versão publicada e imutável","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"CCO-PROOF-REFERENCE","ENT-CUSTOMER-CONSENT","Referência da prova","proofReference","String","proof_reference","varchar(255)","proofReference","string","YES","Hash ou ID externo; nunca conteúdo bruto","INTERMEDIARIO","PERSONAL","RF-CRM-003"
"AUD-ACTOR-ID","ENT-AUDIT-LOG","Autor","actorUserId","UUID","actor_user_id","uuid","actorUserId","string","YES","Nulo para sistema","MVP","INTERNAL","ENT-USER"
"AUD-TENANT-ID","ENT-AUDIT-LOG","Tenant relacionado","tenantId","UUID","tenant_id","uuid","tenantId","string","YES","FK","MVP","INTERNAL","ENT-TENANT"
"AUD-ACTION","ENT-AUDIT-LOG","Ação","action","String","action","varchar(120)","action","string","NO","Código estável","MVP","INTERNAL","RNF-SEG-005"
"AUD-RESOURCE-TYPE","ENT-AUDIT-LOG","Tipo do recurso","resourceType","String","resource_type","varchar(80)","resourceType","string","NO","Código estável","MVP","INTERNAL","RNF-SEG-005"
"AUD-RESOURCE-ID","ENT-AUDIT-LOG","ID do recurso","resourceId","UUID","resource_id","uuid","resourceId","string","YES","UUID","MVP","INTERNAL","RNF-SEG-005"
"AUD-BEFORE","ENT-AUDIT-LOG","Estado anterior sanitizado","beforeJson","JsonNode","before_json","jsonb","-","never","YES","Sem segredos","MVP","PERSONAL","RNF-SEG-008"
"AUD-AFTER","ENT-AUDIT-LOG","Estado novo sanitizado","afterJson","JsonNode","after_json","jsonb","-","never","YES","Sem segredos","MVP","PERSONAL","RNF-SEG-008"
"AUD-CORRELATION-ID","ENT-AUDIT-LOG","Correlação","correlationId","String","correlation_id","varchar(100)","correlationId","string","NO","Gerado na borda","MVP","INTERNAL","ADR-014"
"OBX-AGGREGATE-TYPE","ENT-OUTBOX-EVENT","Tipo agregado","aggregateType","String","aggregate_type","varchar(80)","-","never","NO","Código estável","MVP","INTERNAL","ADR-001"
"OBX-AGGREGATE-ID","ENT-OUTBOX-EVENT","ID agregado","aggregateId","UUID","aggregate_id","uuid","-","never","NO","UUID","MVP","INTERNAL","ADR-001"
"OBX-EVENT-TYPE","ENT-OUTBOX-EVENT","Tipo de evento","eventType","String","event_type","varchar(120)","-","never","NO","Código estável","MVP","INTERNAL","ADR-001"
"OBX-PAYLOAD","ENT-OUTBOX-EVENT","Payload","payloadJson","JsonNode","payload_json","jsonb","-","never","NO","Versionado e mínimo","MVP","INTERNAL","ADR-001"
"OBX-STATUS","ENT-OUTBOX-EVENT","Estado","status","String","status","varchar(20)","-","never","NO","PENDING PROCESSING DONE FAILED","MVP","INTERNAL","RN-NOT-002"
"OBX-ATTEMPTS","ENT-OUTBOX-EVENT","Tentativas","attempts","Integer","attempts","integer","-","never","NO",">=0","MVP","INTERNAL","RN-NOT-002"
"OBX-NEXT-AT","ENT-OUTBOX-EVENT","Próxima tentativa","nextAttemptAt","Instant","next_attempt_at","timestamptz","-","never","YES","UTC","MVP","INTERNAL","RN-NOT-002"
"CSH-UNIT-ID","ENT-CASH-SESSION","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK do tenant","INTERMEDIARIO","INTERNAL","ENT-UNIT"
"CSH-OPENED-BY","ENT-CASH-SESSION","Abertura por","openedBy","UUID","opened_by","uuid","openedBy","string","NO","FK usuário","INTERMEDIARIO","INTERNAL","RF-CXA-001"
"CSH-OPENED-AT","ENT-CASH-SESSION","Abertura","openedAt","Instant","opened_at","timestamptz","openedAt","string","NO","UTC","INTERMEDIARIO","INTERNAL","RF-CXA-001"
"CSH-OPENING-AMOUNT","ENT-CASH-SESSION","Saldo inicial","openingAmount","BigDecimal","opening_amount","numeric(19,2)","openingAmount","string","NO",">=0","INTERMEDIARIO","INTERNAL","RF-CXA-002"
"CSH-STATUS","ENT-CASH-SESSION","Estado","status","CashStatus","status","varchar(20)","status","CashStatus","NO","Enum canônico","INTERMEDIARIO","INTERNAL","CashStatus"
"CSH-CLOSED-BY","ENT-CASH-SESSION","Fechamento por","closedBy","UUID","closed_by","uuid","closedBy","string","YES","FK usuário","INTERMEDIARIO","INTERNAL","RF-CXA-004"
"CSH-CLOSED-AT","ENT-CASH-SESSION","Fechamento","closedAt","Instant","closed_at","timestamptz","closedAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-CXA-004"
"CSH-EXPECTED","ENT-CASH-SESSION","Saldo esperado","expectedAmount","BigDecimal","expected_amount","numeric(19,2)","expectedAmount","string","YES","Congelado no fechamento","INTERMEDIARIO","INTERNAL","RN-CXA-002"
"CSH-COUNTED","ENT-CASH-SESSION","Saldo contado","countedAmount","BigDecimal","counted_amount","numeric(19,2)","countedAmount","string","YES",">=0","INTERMEDIARIO","INTERNAL","RN-CXA-002"
"CSH-DIFFERENCE","ENT-CASH-SESSION","Diferença","differenceAmount","BigDecimal","difference_amount","numeric(19,2)","differenceAmount","string","YES","counted-expected","INTERMEDIARIO","INTERNAL","RN-CXA-002"
"CSM-CASH-ID","ENT-CASH-MOVEMENT","Caixa","cashSessionId","UUID","cash_session_id","uuid","cashSessionId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-CASH-SESSION"
"CSM-TYPE","ENT-CASH-MOVEMENT","Tipo","type","String","type","varchar(30)","type","string","NO","OPENING PAYMENT SUPPLY WITHDRAWAL REFUND ADJUSTMENT","INTERMEDIARIO","INTERNAL","RF-CXA-006"
"CSM-AMOUNT","ENT-CASH-MOVEMENT","Valor absoluto","amount","BigDecimal","amount","numeric(19,2)","amount","string","NO",">0; direção contábil derivada do tipo","INTERMEDIARIO","INTERNAL","RN-PAG-002"
"CSM-PAYMENT-ID","ENT-CASH-MOVEMENT","Pagamento relacionado","paymentId","UUID","payment_id","uuid","paymentId","string","YES","FK","INTERMEDIARIO","INTERNAL","ENT-PAYMENT"
"CSM-REASON","ENT-CASH-MOVEMENT","Motivo","reason","String","reason","varchar(500)","reason","string","YES","Obrigatório em ajuste","INTERMEDIARIO","INTERNAL","RF-CXA-003"
"CSM-CREATED-BY","ENT-CASH-MOVEMENT","Autor","createdBy","UUID","created_by","uuid","createdBy","string","NO","Usuário autorizado; sistema usa identidade técnica","INTERMEDIARIO","INTERNAL","ENT-USER"
"PAY-APPOINTMENT-ID","ENT-PAYMENT","Agendamento","appointmentId","UUID","appointment_id","uuid","appointmentId","string","YES","FK","INTERMEDIARIO","INTERNAL","ENT-APPOINTMENT"
"PAY-GROUP-ID","ENT-PAYMENT","Grupo de recebimento","groupId","UUID","group_id","uuid","groupId","string","NO","Mesmo UUID para os meios do comando","INTERMEDIARIO","INTERNAL","RN-PAG-005"
"PAY-CASH-ID","ENT-PAYMENT","Caixa","cashSessionId","UUID","cash_session_id","uuid","cashSessionId","string","YES","Obrigatório para meio local","INTERMEDIARIO","INTERNAL","ENT-CASH-SESSION"
"PAY-PURPOSE","ENT-PAYMENT","Finalidade","purpose","PaymentPurpose","purpose","varchar(30)","purpose","PaymentPurpose","NO","APPOINTMENT_SETTLEMENT DEPOSIT PRODUCT_SALE","INTERMEDIARIO","INTERNAL","RF-PAG-001"
"PAY-METHOD","ENT-PAYMENT","Meio","method","PaymentMethod","method","varchar(30)","method","PaymentMethod","NO","Enum canônico","INTERMEDIARIO","INTERNAL","PaymentMethod"
"PAY-STATUS","ENT-PAYMENT","Estado","status","PaymentStatus","status","varchar(30)","status","PaymentStatus","NO","Enum canônico","INTERMEDIARIO","INTERNAL","PaymentStatus"
"PAY-AMOUNT","ENT-PAYMENT","Valor","amount","BigDecimal","amount","numeric(19,2)","amount","string","NO",">0","INTERMEDIARIO","INTERNAL","RN-PAG-001"
"PAY-EXTERNAL-ID","ENT-PAYMENT","ID do provedor","externalId","String","external_id","varchar(160)","externalId","string","YES","Único por integração","FINAL","SECRET","RN-PAG-004"
"PAY-IDEMPOTENCY","ENT-PAYMENT","Idempotência","idempotencyKey","String","idempotency_key","varchar(120)","-","never","NO","Única por tenant","INTERMEDIARIO","SECRET","RN-PAG-004"
"PAY-PAID-AT","ENT-PAYMENT","Confirmação","paidAt","Instant","paid_at","timestamptz","paidAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-PAG-001"
"RFD-PAYMENT-ID","ENT-REFUND","Pagamento","paymentId","UUID","payment_id","uuid","paymentId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-PAYMENT"
"RFD-AMOUNT","ENT-REFUND","Valor","amount","BigDecimal","amount","numeric(19,2)","amount","string","NO",">0 e <= disponível","INTERMEDIARIO","INTERNAL","RF-PAG-005"
"RFD-STATUS","ENT-REFUND","Estado","status","PaymentStatus","status","varchar(30)","status","PaymentStatus","NO","PENDING CONFIRMED FAILED","INTERMEDIARIO","INTERNAL","RF-PAG-005"
"RFD-REASON","ENT-REFUND","Motivo","reason","String","reason","varchar(500)","reason","string","NO","2..500","INTERMEDIARIO","INTERNAL","RF-PAG-005"
"RFD-EXTERNAL-ID","ENT-REFUND","ID do provedor","externalId","String","external_id","varchar(160)","externalId","string","YES","Único por integração","FINAL","SECRET","RN-PAG-004"
"RFD-REFUNDED-AT","ENT-REFUND","Reembolso","refundedAt","Instant","refunded_at","timestamptz","refundedAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-PAG-005"
"PCT-NAME","ENT-PRODUCT-CATEGORY","Nome","name","String","name","varchar(100)","name","string","NO","Único ativo por tenant","INTERMEDIARIO","INTERNAL","RF-EST-001"
"PCT-ACTIVE","ENT-PRODUCT-CATEGORY","Ativa","active","Boolean","active","boolean","active","boolean","NO","Padrão true","INTERMEDIARIO","INTERNAL","RF-EST-001"
"PRD-CATEGORY-ID","ENT-PRODUCT","Categoria","categoryId","UUID","category_id","uuid","categoryId","string","YES","FK","INTERMEDIARIO","INTERNAL","ENT-PRODUCT-CATEGORY"
"PRD-SKU","ENT-PRODUCT","SKU","sku","String","sku","varchar(80)","sku","string","YES","Único por tenant quando informado","INTERMEDIARIO","INTERNAL","RF-EST-001"
"PRD-NAME","ENT-PRODUCT","Nome","name","String","name","varchar(160)","name","string","NO","2..160","INTERMEDIARIO","PUBLIC","RF-EST-001"
"PRD-COST","ENT-PRODUCT","Custo de referência","costPrice","BigDecimal","cost_price","numeric(19,2)","costPrice","string","NO",">=0","INTERMEDIARIO","INTERNAL","RF-EST-003"
"PRD-SALE-PRICE","ENT-PRODUCT","Preço de venda","salePrice","BigDecimal","sale_price","numeric(19,2)","salePrice","string","NO",">=0","INTERMEDIARIO","PUBLIC","RF-EST-004"
"PRD-UOM","ENT-PRODUCT","Unidade de medida","unitOfMeasure","String","unit_of_measure","varchar(20)","unitOfMeasure","string","NO","UNIT ML G L G KG","INTERMEDIARIO","INTERNAL","RF-EST-001"
"PRD-MIN-STOCK","ENT-PRODUCT","Estoque mínimo","minimumStock","BigDecimal","minimum_stock","numeric(19,3)","minimumStock","string","NO",">=0","INTERMEDIARIO","INTERNAL","RF-EST-007"
"PRD-ACTIVE","ENT-PRODUCT","Ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","INTERMEDIARIO","INTERNAL","RF-EST-001"
"SUP-LEGAL-NAME","ENT-SUPPLIER","Nome ou razão social","legalName","String","legal_name","varchar(180)","legalName","string","NO","2..180","INTERMEDIARIO","PERSONAL","RF-EST-002"
